@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
9344,'2019/09/19 12:27:44:816',43,330.212769,240.153351,31.227318,318.580505,232.180817,27.02919,295.386169,233.68811,27.752853,258.942078,238.930817,26.921137,246.570053,226.217041,29.118008,0,0,0
9345,'2019/09/19 12:27:44:866',43,308.959137,232.477478,30.630028,320.579803,221.555908,25.409988,296.618347,223.433685,25.813093,261.372925,228.451752,24.679684,247.543182,216.531372,27.022026,0,0,0
9346,'2019/09/19 12:27:44:916',43,310.24884,223.388092,28.182207,328.577301,207.025208,22.606009,306.313965,211.090515,22.96143,273.171906,217.688599,21.525881,256.011536,208.828674,24.372009,0,0,0
9347,'2019/09/19 12:27:44:965',43,316.137756,219.406067,26.232145,332.976013,198.19632,20.824034,309.94635,202.776489,20.826557,282.263184,212.361542,19.676008,263.017914,205.254791,22.825109,0,0,0
9348,'2019/09/19 12:27:45:017',43,308.386475,204.334076,26.738501,325.284241,183.717865,20.298693,301.431366,188.475677,19.915985,279.474976,200.645691,18.800339,257.111145,194.241577,21.990923,0,0,0
9349,'2019/09/19 12:27:45:066',43,303.379974,197.752167,27.464567,318.769928,178.540344,20.199247,293.62439,183.024048,19.61751,275.300293,196.809875,18.750504,251.737732,190.156006,21.926039,0,0,0
9350,'2019/09/19 12:27:45:118',43,296.826782,192.835724,27.905657,310.874329,173.857971,20.326059,285.878113,178.377167,19.701757,268.589905,192.637268,18.817982,244.995621,186.261414,22.016529,0,0,0
9351,'2019/09/19 12:27:45:169',43,292.574402,186.675049,28.188644,303.501984,167.827087,20.192163,280.088776,172.858826,19.685041,265.029633,188.680176,18.692076,241.022949,182.660217,21.881046,0,0,0
9352,'2019/09/19 12:27:45:221',43,292.751648,182.899231,28.584455,297.859924,165.650085,20.120176,274.96814,170.817261,19.718779,260.301239,187.458374,18.812202,236.807007,180.924469,22.020758,0,0,0
9353,'2019/09/19 12:27:45:269',43,289.785217,176.522278,28.678144,293.606262,160.56369,19.994577,272.947815,167.198486,19.738281,258.784119,184.081421,18.972483,234.519089,177.049591,22.046852,0,0,0
9354,'2019/09/19 12:27:45:319',43,290.162476,171.666962,29.099367,290.986969,157.352814,20.160198,271.196014,164.553314,19.965025,259.641998,182.371887,19.327072,234.576096,175.664642,22.34379,0,0,0
9355,'2019/09/19 12:27:45:369',43,285.827789,168.121735,28.895079,286.957611,154.904602,19.853779,267.204346,162.007782,19.635618,255.663696,180.03363,18.98362,230.195053,173.109772,21.913364,0,0,0
9356,'2019/09/19 12:27:45:419',43,281.670532,165.075897,29.145229,286.375427,152.489899,20.079609,266.984406,159.662384,19.704659,258.209839,179.15155,19.109716,230.37941,171.821655,21.76104,0,0,0
9357,'2019/09/19 12:27:45:470',43,282.036804,163.106812,29.011557,285.327942,151.993347,19.773996,265.564575,158.984344,19.525225,257.433716,179.53952,19.289455,229.542694,170.820068,21.870522,0,0,0
9358,'2019/09/19 12:27:45:518',43,286.266785,162.321655,28.812447,286.016663,151.702423,19.432528,266.164642,158.600098,19.274109,258.937408,180.025848,19.233088,232.40741,171.451385,21.961096,0,0,0
9359,'2019/09/19 12:27:45:570',43,296.722076,163.499847,28.687519,291.677155,155.260345,19.121017,271.442841,161.776825,19.24663,266.413696,185.208893,20.105516,240.975983,174.979706,22.759876,0,0,0
9360,'2019/09/19 12:27:45:621',43,307.624847,172.654602,29.829617,302.777679,166.276062,20.241924,281.63089,171.854126,20.497173,275.312866,196.426208,22.209566,249.629181,183.139008,24.313566,0,0,0
9361,'2019/09/19 12:27:45:670',43,317.34903,174.139374,29.787764,313.767944,165.749146,20.429554,292.257355,170.646729,20.538816,284.388031,197.040466,22.423019,258.439453,182.536926,24.298985,0,0,0
9362,'2019/09/19 12:27:45:719',43,343.773682,171.28952,29.327356,325.791901,158.164215,21.556032,305.184753,162.134918,20.479567,294.949982,192.391907,21.396652,264.637024,179.670441,22.785681,0,0,0
9363,'2019/09/19 12:27:45:768',43,364.066528,171.727448,22.151142,331.476929,150.858826,16.297844,309.269379,153.625702,15.589104,299.825897,185.52478,14.808868,273.706116,176.917053,18.05636,0,0,0
9364,'2019/09/19 12:27:45:818',43,395.326324,172.002563,22.561609,354.873779,153.707977,16.882008,333.005798,157.431,16.44294,328.010071,189.810059,16.027565,303.330414,182.979675,19.711567,0,0,0
9365,'2019/09/19 12:27:45:867',43,426.730957,166.457397,23.440664,394.232178,146.402161,17.38065,372.540649,150.060669,16.228626,383.228363,187.964294,16.476334,349.449097,180.568542,19.017405,0,0,0
9366,'2019/09/19 12:27:45:918',43,449.824158,166.467834,24.211306,424.760681,143.40625,18.353718,405.378174,147.213165,16.74794,419.362549,185.156677,16.615845,382.480988,178.997742,18.790474,0,0,0
9367,'2019/09/19 12:27:45:967',43,458.608978,176.814728,20.187223,432.151947,150.829742,14.967365,410.258423,151.04953,13.831245,397.503357,187.159363,13.106937,370.354095,178.828766,16.562469,0,0,0
9368,'2019/09/19 12:27:46:018',43,469.466797,179.768066,14.012417,435.118164,149.565735,12.676556,411.640839,149.294067,12.518013,397.599152,182.061554,9.021503,381.862579,184.126129,13.970661,0,0,0
9369,'2019/09/19 12:27:46:067',43,428.350616,181.312714,5.865063,464.793701,153.454987,10.122639,445.601135,147.869751,10.129246,393.993011,163.328552,1.839233,370.795166,172.915253,6.338959,0,0,0
